Wall time,Step,Value
1734112804.491869,3957,-1666.9471435546875
1734112899.1228693,10690,-1749.805419921875
1734112943.4508693,13873,-1342.561767578125
1734112945.04387,13991,-1311.7801513671875
1734112955.25487,14774,-994.3679809570312
1734112967.2618725,15697,-687.63232421875
1734112974.2438266,16244,-678.7056884765625
1734112989.1398244,17394,-726.9933471679688
1734112993.5018253,17737,-724.3763427734375
1734113016.2968266,19516,-628.3604125976562
1734113018.4488363,19683,-634.0891723632812
1734113049.831837,22093,-585.0910034179688
1734113053.3938363,22371,-569.8172607421875
1734113058.5268364,22762,-552.7594604492188
1734113068.920837,23568,-551.7955932617188
1734113094.7248356,25570,-556.4173583984375
1734113110.5628378,26795,-537.7911987304688
1734113144.6348352,29447,-514.6468505859375
1734113164.993836,31016,-499.532958984375
1734113166.2978358,31117,-498.6333312988281
1734113184.9108365,32577,-470.20733642578125
1734113201.1888363,33840,-458.9178771972656
1734113215.3528357,34953,-453.04974365234375
1734113219.6688359,35270,-453.1953125
1734113259.7218366,38394,-436.90594482421875
1734113263.552835,38697,-432.6722412109375
1734113301.4848356,41650,-445.6297912597656
1734113317.9438365,42941,-435.8802795410156
1734113329.3748362,43828,-421.1942443847656
1734113346.4738348,45137,-415.0400085449219
1734113358.307836,46054,-413.8899230957031
1734113363.9668365,46496,-410.3840026855469
1734113381.2178361,47849,-412.2701721191406
1734113400.247836,49335,-416.4610900878906
1734113431.502836,51745,-423.264404296875
1734113432.9538355,51861,-421.4414367675781
1734113446.2648356,52903,-406.01361083984375
1734113468.2228358,54621,-394.98004150390625
1734113474.3708365,55085,-390.9710998535156
1734113489.2078366,56239,-393.1717224121094
1734113496.4268363,56808,-390.1369934082031
1734113497.8628352,56919,-389.1806335449219
1734113541.9838364,60342,-381.77001953125
1734113544.7058356,60555,-379.09564208984375
1734113546.2148356,60671,-378.9186706542969
1734113574.5728357,62872,-350.7762145996094
1734113581.5848372,63427,-350.6360168457031
1734113584.8668373,63666,-350.3489685058594
